Country,Continent,Rank,Title,Artists,Genre
Japan,Asia,1,夜に駆ける,YOASOBI,J-pop
Japan,Asia,2,Pretender,Official HIGE DANdism,J-pop
Japan,Asia,3,kousui,Eito,J-pop
Japan,Asia,4,I Love...,Official HIGE DANdism,Japanese Indie
Japan,Asia,5,Hakujitsu,King Gnu,Japanese Indie
Japan,Asia,6,Shukumei,Official HIGE DANdism,J-pop
Japan,Asia,7,115万キロのフィルム,Official HIGE DANdism,J-pop
Japan,Asia,8,Gurenge,LiSA,Japanese Rock
Japan,Asia,9,Yesterday,Official HIGE DANdism,J-pop
Japan,Asia,10,ノーダウト,Official HIGE DANdism,J-pop
Japan,Asia,11,Machigaisagashi,Masaki Suda,J-pop
Japan,Asia,12,Marigold,Aimyon,Japanese Indie
Japan,Asia,13,ただ君に晴れ,Yorushika,J-pop
Japan,Asia,14,snow jam,Rin音,Japanese Rap
Japan,Asia,15,Parabola,Official HIGE DANdism,J-pop
Japan,Asia,16,Sayonara Elegy,Masaki Suda,J-pop
Japan,Asia,17,僕のこと,Mrs. GREEN APPLE,Japanese Rock
Japan,Asia,18,Harunohi,Aimyon,J-pop
Japan,Asia,19,高嶺の花子さん,back number,Japanese Rock
Japan,Asia,20,Walking with you,Novelbright,Japanese Rock
Japan,Asia,21,インフェルノ,Mrs. GREEN APPLE,Japanese Rock
Japan,Asia,22,Stand By You,Official HIGE DANdism,Japanese Rock
Japan,Asia,23,点描の唄,"Mrs. GREEN APPLE, Sonoko Inoue",Japanese Rock
Japan,Asia,24,青と夏,Mrs. GREEN APPLE,Japanese Rock
Japan,Asia,25,Anataga Iru Kotode,Uru,J-pop
Japan,Asia,26,裸の心,Aimyon,Japanese Indie
Japan,Asia,27,君はロックを聴かない,Aimyon,Japanese Indie
Japan,Asia,28,Hikoutei,King Gnu,Japanese Indie
Japan,Asia,29,未完成,Leo Ieiri,Pop Rock
Japan,Asia,30,bad guy,Billie Eilish,Electropop
Japan,Asia,31,KAIBUTSUSAN (feat. Aimyon),"Ken Hirai, Aimyon",J-pop
Japan,Asia,32,Doron,King Gnu,Japanese Indie
Japan,Asia,33,ロマンチシズム,Mrs. GREEN APPLE,Japanese Rock
Japan,Asia,34,No Regret,wacci,J-pop
Japan,Asia,35,Teenager Forever,King Gnu,Japanese Indie
Japan,Asia,36,HANABI,Mr.Children,Japanese Rock
Japan,Asia,37,Let the Night,Aimyon,J-pop
Japan,Asia,38,奏(かなで),Sukima Switch,Japanese Rock
Japan,Asia,39,ハッピーエンド,back number,J-pop
Japan,Asia,40,Time,Hikaru Utada,J-pop
Japan,Asia,41,Turning Up,ARASHI,Holiday
Japan,Asia,42,小さな恋のうた,MONGOL800,Japanese Rock
Japan,Asia,43,366日,HY,J-pop
Japan,Asia,44,ワタリドリ,[Alexandros],Japanese Rock
Japan,Asia,45,Wherever you are,ONE OK ROCK,Japanese Rock
Japan,Asia,46,Vintage,Official HIGE DANdism,J-pop
Japan,Asia,47,Umbrella,King Gnu,Japanese Indie
Japan,Asia,48,打上花火,"DAOKO, Kenshi Yonezu",J-pop
Japan,Asia,49,Closer - Tokyo Remix,"The Chainsmokers, Mackenyu Arata",Dance Pop
Japan,Asia,50,愛をこめて花束を,Superfly,Japanese Indie
South Africa,Africa,1,Blinding Lights,The Weeknd,R&B/Soul
South Africa,Africa,2,Toosie Slide,Drake,Hip Hop/Rap
South Africa,Africa,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",Hip Hop/Rap
South Africa,Africa,4,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Hip Hop/Rap
South Africa,Africa,5,Roses - Imanbek Remix,"SAINt JHN, Imanbek",R&B/Soul
South Africa,Africa,6,The Box,Roddy Ricch,Hip Hop/Rap
South Africa,Africa,7,ZOL,Max Hurrell,Amapiano
South Africa,Africa,8,Blueberry Faygo,Lil Mosey,Hip Hop/Rap
South Africa,Africa,9,Life Is Good (feat. Drake),"Future, Drake",Hip Hop/Rap
South Africa,Africa,10,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Pop
South Africa,Africa,11,Dance Monkey,Tones And I,Electro-pop
South Africa,Africa,12,Don't Start Now,Dua Lipa,Nu-Disco
South Africa,Africa,13,Intentions (feat. Quavo),"Justin Bieber, Quavo","R&B, pop, trap"
South Africa,Africa,14,Circles,Post Malone,"Soft rock, downtempo, pop rock"
South Africa,Africa,15,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Alternative
South Africa,Africa,16,Someone You Loved,Lewis Capaldi,Ballad
South Africa,Africa,17,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber","Pop, R&B"
South Africa,Africa,18,Falling,Trevor Daniel,"Hip Hop, Alternative R&B"
South Africa,Africa,19,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Hip Hop/Rap
South Africa,Africa,20,WHATS POPPIN,Jack Harlow,"Hip hop, trap"
South Africa,Africa,21,Memories,Maroon 5,Reggae pop
South Africa,Africa,22,You're the One,Elaine,Contemporary R&B
South Africa,Africa,23,In Your Eyes,The Weeknd,"Synth-pop, new wave"
South Africa,Africa,24,Chicago Freestyle (feat. Giveon),"Drake, Giveon","Hip hop, R&B"
South Africa,Africa,25,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj","Bubblegum pop, disco-pop, pop rap"
South Africa,Africa,26,HIGHEST IN THE ROOM,Travis Scott,Trap
South Africa,Africa,27,goosebumps,Travis Scott,"Pyschedelic rap, trap, R&B"
South Africa,Africa,28,GOOBA,6ix9ine,Trap
South Africa,Africa,29,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Pop
South Africa,Africa,30,Go Crazy,"Chris Brown, Young Thug",R&B/Trap
South Africa,Africa,31,ROXANNE,Arizona Zervas,Pop
South Africa,Africa,32,SICKO MODE,Travis Scott,Hip Hop/Rap
South Africa,Africa,33,Righteous,Juice WRLD,Hip Hop/Rap
South Africa,Africa,34,Sunday Best,Surfaces,Electro-Pop
South Africa,Africa,35,Party Girl,StaySolidRocky,Hip Hop/Rap
South Africa,Africa,36,Be Kind (with Halsey),"Marshmello, Halsey",Electro-Pop
South Africa,Africa,37,everything i wanted,Billie Eilish,Pop
South Africa,Africa,38,eMcimbini - Live,"Kabza De Small, DJ Maphorisa, Aymos, Samthing Soweto, Mas Musiq, Myztro",Amapiano
South Africa,Africa,39,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",Electro-Pop
South Africa,Africa,40,Break My Heart,Dua Lipa,Pop
South Africa,Africa,41,WUNNA,Gunna,Hip Hop/Rap
South Africa,Africa,42,"I Need You - From the Netflix original series ""Blood & Water""","Nasty C, Rowlene",Hip Hop/Rap
South Africa,Africa,43,After Party,Don Toliver,Hip Hop/Rap
South Africa,Africa,44,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Hip Hop/Rap
South Africa,Africa,45,Before You Go,Lewis Capaldi,Pop
South Africa,Africa,46,Señorita,"Shawn Mendes, Camila Cabello",Pop
South Africa,Africa,47,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Pop
South Africa,Africa,48,Breaking Me,"Topic, A7S",Electro-Pop
South Africa,Africa,49,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",Pop
South Africa,Africa,50,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",R&B/Soul
Spain,Europe,1,PAM,"Justin Quiles, Daddy Yankee, El Alfa",Reggaeton
Spain,Europe,2,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Reggaeton
Spain,Europe,3,Nunca Estoy,C. Tangana,Latin Pop
Spain,Europe,4,Sola & Vacía,"Casper Magico, Anuel AA",Reggaeton
Spain,Europe,5,PA' ROMPERLA,"Bad Bunny, Don Omar",Reggaeton
Spain,Europe,6,Mil Tequilas,Chema Rivas,Latin Pop
Spain,Europe,7,Favorito,Camilo,Latin Pop
